shortName,playerName,aggressiveness,attempts,avgAirDistance,avgAirYardsDifferential,avgAirYardsToSticks,avgCompletedAirYards,avgIntendedAirYards,avgTimeToThrow,completionPercentage,completionPercentageAboveExpectation,completions,expectedCompletionPercentage,interceptions,maxAirDistance,maxCompletedAirDistance,passTouchdowns,passYards,passerRating,season,seasonType,week,teamId
P.Rivers,Philip Rivers,19.565217391304348,46,19.60872275066277,-2.2712198067632854,-2.728478260869565,3.826388888888889,6.097608695652173,2.342673913043478,78.26086956521739,7.720331718092383,36,70.54053784712501,2,39.18898314577708,39.18898314577708,1,363,88.67753623188405,2020,REG,1,2200
M.Stafford,Matthew Stafford,16.666666666666664,42,21.42376172513714,-2.184126016260164,0.2539024390243905,7.094166666666666,9.27829268292683,2.6939512195121957,57.14285714285714,-4.453244521504367,24,61.596101664361505,1,59.60176171892908,31.98983119680377,1,297,77.1825396825397,2020,REG,1,1540
M.Ryan,Matt Ryan,18.51851851851852,54,21.15480083448232,-0.04086278586278702,0.4365384615384613,9.145675675675676,9.186538461538463,2.6527592592592595,68.51851851851852,4.974861884558641,37,63.543656633959884,1,47.47849302579011,47.47849302579011,2,450,98.53395061728395,2020,REG,1,200
K.Murray,Kyler Murray,7.5,40,20.75888206349232,-1.9098752598752595,-4.52945945945946,3.587692307692308,5.497567567567566,2.423025641025641,65.0,-0.4866597894579172,26,65.48665978945792,1,44.0813112327662,35.05453608308061,1,230,78.125,2020,REG,1,3800
R.Fitzpatrick,Ryan Fitzpatrick,36.66666666666666,30,20.689615428122522,-1.8228333333333344,0.05733333333333389,6.7345,8.557333333333334,2.565633333333333,66.66666666666666,6.555333733558648,20,60.111332933108,3,38.27176766233825,31.702820063836594,0,191,44.58333333333333,2020,REG,1,2700
D.Carr,Derek Carr,13.333333333333336,30,18.855923392308327,-2.0962012987012986,-2.995357142857142,3.372727272727273,5.468928571428572,2.4934333333333334,73.33333333333333,2.654756506284073,22,70.67857682704927,0,53.10945019485703,41.332438834407064,1,239,107.5,2020,REG,1,2520
T.Brady,Tom Brady,13.888888888888891,36,21.594315884781643,-1.4212020460358046,-1.1947058823529415,7.001739130434783,8.422941176470589,2.688083333333333,63.88888888888889,0.30503674513763457,23,63.58385214375125,2,42.6972434707441,42.6972434707441,2,239,78.35648148148151,2020,REG,1,4900
P.Mahomes,Patrick Mahomes,6.25,32,18.325422161356922,-1.481145833333334,-3.2284375000000005,3.1966666666666663,4.6778125,2.3459687499999995,75.0,-3.32404812797904,24,78.32404812797905,0,48.54192105798862,27.892717687597248,3,211,123.30729166666669,2020,REG,1,2310
J.Burrow,Joe Burrow,22.222222222222218,36,21.24366604248944,-4.139701863354038,-0.4751428571428574,4.470869565217392,8.61057142857143,2.3752857142857136,63.88888888888889,2.6659587087730543,23,61.222930180115824,1,51.094936148311206,25.02600647326696,0,193,66.08796296296296,2020,REG,1,920
B.Roethlisberger,Ben Roethlisberger,9.677419354838712,31,19.545677220098415,-0.22809523809523655,-3.223333333333333,5.915238095238098,6.1433333333333335,2.353129032258064,67.74193548387096,1.003434388868257,21,66.7385010950027,0,47.28387885950137,47.28387885950137,3,229,121.57258064516128,2020,REG,1,3900
J.Allen,Josh Allen,8.695652173913043,46,18.785157177529406,-0.6656565656565672,-2.848888888888889,5.4854545454545445,6.1511111111111125,3.0806739130434786,71.73913043478261,1.175374310949579,33,70.56375612383303,0,38.76116226327585,38.76116226327585,2,312,104.61956521739133,2020,REG,1,610
J.Garoppolo,Jimmy Garoppolo,9.090909090909092,33,20.857384989274152,-2.4769901315789475,-1.2053125000000002,4.598947368421053,7.0759375,2.8336666666666663,57.57575757575758,-6.460654148549737,19,64.03641172430731,0,44.43545093728656,29.486176422181288,2,259,102.96717171717172,2020,REG,1,4500
L.Jackson,Lamar Jackson,16.0,25,22.79283441808423,-0.8515833333333322,1.8479166666666669,10.288000000000002,11.139583333333334,3.0727600000000006,80.0,15.783539533615112,20,64.21646046638489,0,52.874496687911844,52.874496687911844,3,275,152.08333333333331,2020,REG,1,325
R.Tannehill,Ryan Tannehill,13.953488372093025,43,18.018450762508518,-0.7031637931034478,-0.9542500000000004,5.467586206896552,6.17075,2.6210697674418597,67.44186046511628,1.8109626548234845,29,65.6308978102928,0,31.752020408156707,30.02483305532272,2,249,97.91666666666666,2020,REG,1,2100
T.Bridgewater,Teddy Bridgewater,8.823529411764708,34,19.808373658127678,-2.1375668449197867,-0.9200000000000008,6.177727272727271,8.315294117647058,2.5626176470588238,64.70588235294117,-6.5310034024364825,22,71.23688575537766,0,43.138109601604,38.02505095328605,1,270,98.89705882352942,2020,REG,1,750
D.Lock,Drew Lock,9.090909090909092,33,22.16669832769373,-5.466363636363635,0.8625000000000004,3.4586363636363644,8.924999999999997,2.9465454545454537,66.66666666666666,-0.31958917776745466,22,66.98625584443411,0,59.38149543418388,26.243073371844236,1,216,95.01262626262628,2020,REG,1,1400
T.Taylor,Tyrod Taylor,36.66666666666666,30,24.241885227192732,-3.849655172413796,3.3972413793103438,7.719999999999999,11.569655172413794,2.7707666666666664,53.33333333333334,-1.6478144129117285,16,54.98114774624506,0,44.93170818030403,44.93170818030403,0,208,75.41666666666667,2020,REG,1,4400
J.Goff,Jared Goff,9.677419354838712,31,18.830758286959824,-0.7332142857142863,-3.6635714285714287,3.5675,4.300714285714286,2.5872258064516127,64.51612903225806,-4.12607164152206,20,68.64220067378012,1,40.89249931222106,40.89249931222106,0,275,79.36827956989248,2020,REG,1,2510
A.Rodgers,Aaron Rodgers,13.636363636363635,44,23.978905921478056,-2.8579801829268265,1.8809756097560983,6.730312500000003,9.588292682926827,2.5902954545454544,72.72727272727273,14.157483625141063,32,58.56978910213167,0,62.17422697549202,54.77731829872652,4,364,127.46212121212122,2020,REG,1,1800
R.Wilson,Russell Wilson,0.0,35,18.92794809741227,-0.6768847926267281,-4.013714285714285,4.652258064516129,5.329142857142856,2.749028571428572,88.57142857142857,13.66562562329429,31,74.90580294813428,0,42.727172852881345,42.727172852881345,4,322,143.0952380952381,2020,REG,1,4600
S.Darnold,Sam Darnold,11.428571428571427,35,20.79121445785037,-3.9865800865800862,-1.0672727272727276,3.5219047619047616,7.508484848484848,2.6919696969696973,60.0,-3.2818348280021183,21,63.28183482800212,1,42.86416918592964,39.43779025249767,1,215,75.29761904761905,2020,REG,1,3430
C.Wentz,Carson Wentz,14.285714285714285,42,24.495382281690283,-5.712202380952383,2.11404761904762,6.330416666666667,12.042619047619052,2.608023809523809,57.14285714285714,-10.333858607780373,24,67.47671575063751,2,59.74407083552309,57.44306572598647,2,270,72.51984126984127,2020,REG,1,3700
D.Jones,Daniel Jones,14.634146341463413,41,18.915478795109614,-0.472820512820511,-2.002564102564103,6.293846153846156,6.766666666666667,2.7175121951219507,63.414634146341456,2.127661910362363,26,61.2869722359791,2,46.34301026044811,46.34301026044811,2,279,79.21747967479675,2020,REG,1,3410
D.Watson,Deshaun Watson,12.5,32,19.01473046089215,-2.8540645161290317,-0.1870967741935484,5.604000000000001,8.458064516129033,2.585562499999999,62.5,-3.0623293947428465,20,65.56232939474285,1,42.04412087319701,36.00334012282749,1,253,84.50520833333334,2020,REG,1,2120
C.Newton,Cam Newton,10.526315789473683,19,16.958485927670118,-0.9623157894736841,-4.307368421052632,4.204,5.166315789473684,2.3646315789473684,78.94736842105263,2.2032991835945523,15,76.74406923745808,0,29.271209404464308,23.768064708764157,0,155,100.6578947368421,2020,REG,1,3200
D.Haskins,Dwayne Haskins,19.354838709677423,31,20.874643322261942,-3.439117647058823,-1.1883333333333332,4.505882352941176,7.9449999999999985,2.2503548387096783,54.838709677419345,-12.368072329028971,17,67.20678200644832,0,36.027211937645134,26.96888021405412,1,178,82.45967741935483,2020,REG,1,5110
K.Cousins,Kirk Cousins,28.000000000000004,25,21.45038973329991,-0.5765052631578946,2.4244000000000003,10.207894736842103,10.7844,2.91488,76.0,14.91932475566864,19,61.08067524433136,1,55.6250060674154,55.6250060674154,2,259,118.58333333333331,2020,REG,1,3000
G.Minshew,Gardner Minshew,5.0,20,17.32400949811581,-0.4125000000000005,-5.277499999999999,4.0600000000000005,4.472500000000001,2.34315,95.0,16.424758285284042,19,78.57524171471596,0,36.47947505104754,36.47947505104754,3,173,142.29166666666666,2020,REG,1,2250
D.Prescott,Dak Prescott,15.384615384615385,39,20.56236143395114,-1.2729081081081075,-2.0740540540540544,5.815199999999999,7.0881081081081065,2.817051282051282,64.1025641025641,0.9392653663571052,25,63.163298736207,0,52.262036891035926,28.984080113055164,1,266,92.46794871794873,2020,REG,1,1200
